"Nome","Códigos","Último","Var%","Capitalização","Vol."
"Moody's BDR","MCOR34","413,28","0,00%","307,83B","0"
"US Bancorp BDR","USBC34","49,25","1,23%","306,11B","11"
"Banco Santander BDR","BCSA34","19,30","0,84%","305,58B","3.092"
"General Dynamics BDR","GDBR34","1.083,24","0,00%","303,44B","0"
"Humana BDR","H1UM34","53,86","2,01%","300,36B","135"
"Monster Beverage BDR","M1NS34","35,77","6,40%","300,24B","25.436"
"Marriott International BDR","M1TT34","250,74","1,24%","299,17B","21"
"JD.com BDR","JDCO34","31,55","-0,57%","298,69B","821"
"Target BDR","TGTB34","649,33","0,10%","298,43B","6"
"Workday BDR","W1DA34","71,25","0,92%","298,03B","2.672"
"Estee Lauder Companies BDR","ELCI34","34,59","0,17%","298,01B","30"
"Freeport BDR","FCXO34","69,17","0,07%","297,1B","108"
"Vale ON","VALE3","67,90","0,50%","294,92B","22.989.600"
"3M BDR","MMMC34","128,83","0,65%","284,65B","211"
"Emerson Electric BDR","E1MR34","405,54","0,00%","281,75B","0"
"McKesson BDR","M1CK34","517,28","0,00%","279,13B","0"
"Occidental Petroleum BDR","OXYP34","51,95","0,74%","277,03B","6.586"
"NXP Semiconductors BDR","N1XP34","499,44","0,00%","276,33B","0"
"Marathon Petroleum BDR","M1PC34","686,15","1,65%","274,32B","113"
"Arista Networks BDR","A1NE34","217,81","-0,80%","271,96B","25"
"Heineken","HEIA34","-","%","271,22B","-"
"Parker-Hannifin BDR","P1HC34","514,80","0,00%","267,17B","0"
"Snowflake BDR","S2NW34","20,40","0,64%","266,44B","593"
"Brookfield Asset Management BDR","B1AM34","40,60","0,50%","265,67B","15"
"Pioneer Natural Resources BDR","P1IO34","286,16","0,00%","265,42B","0"
"Amphenol BDR","A1PH34","210,98","0,00%","259,78B","0"
"PNC Financial Services Group BDR","PNCS34","310,00","0,00%","258,39B","0"
"Ecolab BDR","E1CL34","224,86","0,00%","257,72B","0"
"Roper Technologies BDR","R1OP34","229,57","0,00%","257,65B","0"
"Chipotle Mexican Grill BDR","C1MG34","461,93","-0,25%","255,51B","26"
"Itaú Unibanco ON","ITUB3","24,31","-0,21%","254,45B","426.700"
"Itaú Unibanco PN","ITUB4","27,66","-0,79%","254,45B","32.944.400"
"Ford Motors BDR","FDMO34","63,15","0,67%","253,79B","627"
"Baidu BDR","BIDU34","51,24","-1,46%","251,82B","534"
"General Motors BDR","GMCO34","45,28","1,75%","250,08B","2.138"
"Norfolk Southern BDR","N1SC34","278,00","0,00%","249,5B","0"
"Honda Motor BDR","HOND34","150,60","0,00%","247,08B","0"
"Cintas BDR","C1TA34","480,32","0,00%","246,49B","0"
"Transdigm Group BDR","T1DG34","84,86","0,00%","246,07B","0"
"Public Storage BDR","P1SA34","266,82","-0,37%","244,54B","2"
"Atlassian Corp BDR","T1AM34","46,77","-0,49%","243,73B","6.421"
"Phillips 66 BDR","P1SX34","276,48","1,61%","243,17B","7"
"Lululemon Athletica BDR","L1UL34","451,26","0,00%","238,17B","0"
"Edwards Lifesciences BDR","E1WL34","97,80","0,90%","237,85B","209"
"Arthur J. Gallagher BDR","A1JG34","501,00","0,00%","236,62B","0"
"Metlife Inc BDR","METB34","311,88","0,00%","236,52B","0"
"Trane Technologies BDR","I1RP34","508,00","2,02%","233,19B","8"
"Takeda Pharmaceutical BDR","TAKP34","73,99","0,00%","232,43B","0"
"Ambev ON","ABEV3","14,68","-0,20%","231,16B","15.363.900"
"Republic Services BDR","R1SG34","357,27","0,00%","230,8B","0"
