"Nome","Códigos","Último","Var%","Capitalização","Vol."
"Extra Space Storage BDR","E1XR34","158,50","4,17%","141,32B","1"
"Martin Marietta Materials BDR","M1LM34","368,14","0,00%","140B","0"
"Keysight Technologies BDR","K1SG34","403,00","0,00%","139,09B","0"
"Corning BDR","G1LW34","160,34","0,00%","138,4B","0"
"MongoDB BDR","M1DB34","97,75","-0,77%","137,5B","1.101"
"Royal Caribbean BDR","R1CL34","261,50","2,22%","135,65B","60"
"American Water Works BDR","A1WK34","173,32","0,00%","135,57B","0"
"Align Tech BDR","A1LG34","443,05","0,00%","135,49B","0"
"Spotify BDR","S1PO34","173,52","-1,21%","135,46B","826"
"Fortive BDR","F1TV34","191,87","1,69%","135,31B","12"
"WEC Energy Group BDR","W1EC34","213,95","0,00%","135,24B","0"
"Banco do Brasil ON","BBAS3","47,32","-0,17%","135,04B","5.713.400"
"Mettler Toledo BDR","M1TD34","622,00","0,00%","134,96B","0"
"ResMed BDR","R1MD34","287,97","0,00%","134,53B","0"
"CDW Corp DRC","C1DW34","44,09","2,87%","133,24B","10"
"Gartner BDR","G1AR34","411,18","0,00%","131,99B","0"
"Edison BDR","E1IX34","170,21","0,00%","131,08B","0"
"Avalonbay Communities BDR","A1VB34","224,71","0,00%","130,58B","0"
"ANSYS BDR","A1NS34","374,44","0,24%","130,44B","10"
"Zimmer Biomet BDR","Z1BH34","172,20","0,00%","128,65B","0"
"T. Rowe Price BDR","T1RO34","278,64","0,00%","128,18B","0"
"Trip.com Group BDR","CRIP34","193,42","0,00%","128,11B","0"
"Equity BDR","E1QR34","164,32","0,00%","126,85B","0"
"Walgreens BDR","WGBA34","73,99","0,96%","126,4B","1"
"Xylem BDR","X1YL34","265,77","0,00%","126,23B","0"
"Discover Financial BDR","D1FS34","267,84","0,00%","126,09B","0"
"CBRE Group BDR","C1BR34","402,81","0,00%","125,88B","0"
"Vodafone BDR","V1OD34","22,96","-0,30%","122,94B","55"
"Nasdaq BDR","N1DA34","121,92","0,20%","120,38B","347"
"Tractor Supply BDR","T1SC34","60,85","0,83%","119,63B","100"
"Weyerhaeuser BDR","W1YC34","165,00","0,00%","118,67B","0"
"Take-Two Interactive Software BDR","T1TW34","170,01","-2,02%","117,46B","18"
"SBA Communications BDR","S1BA34","219,12","0,00%","116,9B","0"
"BioNTech BDR","B1NT34","30,20","-5,86%","116,32B","28.026"
"Heineken Hldng","HEIO34","-","%","115,68B","-"
"State Street BDR","S1TT34","347,82","0,00%","115,39B","0"
"McCormick & Co BDR","M1KC34","107,68","0,00%","115,27B","0"
"M&T Bank BDR","M1TB34","147,60","0,00%","115,07B","0"
"Cardinal Health BDR","C1AH34","435,61","0,00%","115,06B","0"
"Ecopetrol BDR","E1CO34","28,17","1,73%","114,93B","212"
"Eversource BDR","E1SE34","168,60","0,00%","114,75B","0"
"eBay BDR","EBAY34","106,54","0,90%","114,35B","4"
"Albemarle BDR","A1LB34","40,01","-1,21%","113,14B","10.807"
"Alnylam Pharmaceuticals BDR","A1LN34","45,10","0,00%","112,89B","0"
"Roblox Corp BDR","R2BL34","18,35","0,66%","112,52B","228"
"ArcelorMittal BDR","ARMT34","67,41","0,78%","111,89B","54"
"Raymond James Financial BDR","R1JF34","266,75","1,43%","111,49B","125"
"Hewlett Packard Enterprise BDR","H1PE34","83,92","0,00%","111,07B","0"
"Hartford Financial Services BDR","H1IG34","341,23","0,00%","110,36B","0"
"Carnival BDR","C1CL34","88,04","4,98%","110,26B","2.264"
