"Nome","Códigos","Último","Var%","Capitalização","Vol."
"Deutsche Bank BDR","DBAG34","54,69","1,48%","109,92B","1"
"Hormel Foods BDR","H1RL34","191,00","0,00%","109,11B","0"
"DTE Energy BDR","D1TE34","135,83","0,00%","108,89B","0"
"Kellogg BDR","K1EL34","158,75","0,47%","108,73B","1.511"
"Willis Towers Watson BDR","W1LT34","333,68","0,00%","108,69B","0"
"Baxter International BDR","B1AX34","107,39","0,00%","108,05B","0"
"Genuine Parts BDR","G1PC34","390,88","0,00%","107,68B","0"
"Ulta Beauty BDR","U1LT34","107,40","0,37%","107,37B","2"
"Alexandria Real Estate Equities BDR","A1RE34","151,95","1,81%","105,33B","105"
"JB Hunt Transport Services BDR","J1BH34","24,18","0,00%","104,89B","0"
"Ameren BDR","A1EE34","210,00","0,00%","104,56B","0"
"Santander Brasil PN ","SANB4","14,67","-0,41%","103,45B","148.500"
"Santander Brasil ON ","SANB3","13,15","-0,45%","103,45B","151.800"
"Santander Brasil Unit","SANB11","27,84","0,07%","103,45B","755.300"
"Coterra Energy BDR","C1OG34","135,10","0,00%","103,19B","0"
"First Solar BDR","FSLR34","476,58","1,31%","102,4B","18"
"NVR BDR","N1VR34","624,96","2,99%","102,18B","2"
"Howmet Aerospace BDR","ARNC34","197,75","0,00%","101,91B","0"
"Wabtec BDR","W1AB34","282,52","0,81%","101,52B","13"
"FirstEnergy BDR","F1EC34","185,62","0,00%","101,49B","0"
"Entergy BDR","E1TR34","276,10","0,00%","100,75B","0"
"International Flavors & Fragrances BDR","I1FF34","197,20","0,00%","100,43B","0"
"Zoom BDR","Z1OM34","13,30","-2,06%","100,11B","777"
"Coinbase BDR","C2OI34","16,86","-0,24%","99,91B","52.339"
"Garmin BDR","G1RM34","248,50","0,00%","99,56B","0"
"Dover BDR","D1OV34","359,88","0,00%","98,28B","0"
"Ryanair BDR","R1YA34","62,34","3,08%","98,24B","5"
"Rollins BDR","R1OL34","211,68","0,00%","97,62B","0"
"Markel BDR","MKLC34","337,62","0,00%","97,42B","0"
"Beigene BDR","B1GN34","36,72","-5,85%","97B","12"
"Regions Financial BDR","R1FC34","100,40","0,00%","96,47B","0"
"Southwest Airlines BDR","S1OU34","168,80","0,00%","96,23B","0"
"Broadridge Financial Solutions BDR","B1RF34","197,80","0,00%","96,06B","0"
"Fifth Third Bank BDR","FFTD34","131,55","0,00%","95,36B","0"
"Itaúsa PN","ITSA4","9,76","0,00%","95,15B","16.687.300"
"Itaúsa ON","ITSA3","9,90","0,61%","95,15B","531.800"
"Cooper Companies BDR","C1OO34","186,77","0,00%","94,58B","0"
"Principal Financial Group BDR","P1FG34","376,40","0,00%","94,51B","0"
"PPL BDR","P1PL34","131,50","0,00%","94,31B","0"
"Expeditors International BDR","E1XP34","292,11","0,00%","93,45B","0"
"Laboratory Corp BDR","L1CA34","261,26","-1,46%","93,19B","26"
"Koninklijke Philips BDR","PHGN34","100,30","0,00%","93B","0"
"Hologic BDR","H1OL34","409,00","0,00%","92,51B","0"
"Pultegroup BDR","P1HM34","420,25","2,50%","92,08B","91"
"Ventas BDR","V1TA34","109,29","0,00%","90,68B","0"
"Sirius XM Holdings DRC","SRXM34","24,09","-0,49%","90,57B","613"
"Enphase Energy BDR","E2NP34","26,49","-2,54%","90,23B","1.228"
"CenterPoint Energy BDR","C1NP34","150,98","0,00%","89,7B","0"
"Fleetcor Technologies BDR","FLTC34","271,45","0,00%","89,29B","0"
"Best Buy BDR","BBYY34","394,78","0,00%","88,27B","0"
